Date,BTC,BTC Available,BTC Collateral,BTC USD,ETH,ETH Available,ETH Collateral,ETH USD
2/5/2018,47274.74,7691.28,4608.59,158068.71,87108.87,152983.7,107004.62,160690.73
7/8/2016,40418.84,2446.71,7211.64,91610.33,111270.4,170555.64,177246.24,181991.66
6/14/2017,27799.93,8879.36,8746.27,151759.37,133796.96,105888.42,183311.26,161948.52
2/28/2018,29346.62,8436.28,2943.32,135302.92,119816.0,191094.29,135533.48,147190.16
8/8/2017,21195.68,8397.53,7219.09,157260.27,129496.05,194486.73,192366.15,127416.6
12/23/2016,18556.49,2413.55,2528.3,110485.04,106773.2,105692.44,104068.44,160294.5
1/16/2018,42853.96,6930.02,8753.33,140980.7,108121.94,190091.34,123932.12,145923.77
3/15/2018,22880.12,7416.68,6469.3,120873.66,161411.69,83320.19,87627.45,100104.29
10/9/2016,8095.68,2496.36,6866.99,181213.99,141671.92,122191.49,146361.07,80352.75
11/16/2016,45864.41,837.65,6805.95,99873.81,190819.81,193643.62,188670.41,98870.15
10/4/2017,28755.13,9968.04,2662.64,84499.4,102164.89,167757.31,128173.2,122181.63
5/31/2016,2312.58,10755.96,6491.71,138743.83,153591.82,155050.86,136108.35,149572.45
5/11/2018,41966.71,4059.58,1541.18,180587.92,134722.0,134826.66,192884.19,108087.44
4/7/2017,39878.16,2751.48,2299.23,168993.14,153575.44,,,104424.77
6/23/2017,34300.36,3360.75,7130.34,168723.72,124378.35,91613.23,171035.12,112097.56
9/25/2017,16735.63,11778.72,7361.41,142725.71,168676.19,148716.51,152279.81,166411.71
12/2/2017,16386.64,1723.82,8627.39,195415.63,136804.4,,,156255.57
4/15/2017,20242.64,8506.18,7221.15,120665.3,129205.95,108977.48,156386.93,169157.46
10/21/2016,12221.69,9939.71,1484.77,198284.92,143606.53,,,97596.91
5/25/2016,20093.32,11089.19,6932.09,176112.39,101694.86,90256.84,100042.92,158012.42
11/2/2017,12497.38,7249.34,2178.01,87870.68,80440.12,185957.52,175292.69,128259.74
4/19/2017,28121.63,7326.69,3652.96,144873.62,109361.11,102138.12,92742.86,152657.71
10/29/2016,43330.64,,,110954.0,127203.24,87867.07,94517.26,180002.6
1/13/2018,44786.86,6610.82,1924.21,111229.09,94692.88,186393.51,142569.2,83072.12
8/7/2017,42871.16,8692.02,8453.26,84476.72,172229.62,135690.69,183472.07,147152.91
1/4/2017,47584.85,2058.34,3801.65,98452.76,158307.0,90937.68,85046.48,94150.28
4/16/2018,11048.07,3165.79,1036.52,98455.85,121647.32,181582.58,98112.88,164739.32
6/12/2017,26922.84,10894.55,5436.89,103050.47,82182.21,186641.59,167736.96,97838.45
9/24/2016,43396.54,,,141330.88,148498.26,192055.4,165306.73,138024.35
8/6/2016,19471.76,3942.06,3688.32,150882.22,159502.15,80344.47,84220.01,109949.49
8/4/2016,41659.22,11842.85,2457.75,198096.93,132545.46,103716.52,162311.6,112041.77
11/6/2017,5520.5,7351.99,4238.31,106142.27,154357.08,185069.05,145223.57,148309.71
10/31/2016,40547.87,6180.03,6579.42,119062.37,152763.32,168188.93,146121.41,147459.67
10/15/2017,17860.07,11608.71,5131.31,133587.4,176803.05,147299.98,174349.21,167529.42
5/14/2018,9249.14,,,133687.06,128669.28,158195.6,145400.93,155836.56
2/7/2018,27762.83,6480.98,7472.64,136117.76,111601.42,165883.55,122156.79,187207.1
1/26/2018,38162.31,10357.14,4654.29,128903.55,139744.98,,,118261.08
9/13/2016,11034.91,1241.09,1021.98,147726.34,182318.26,137837.63,128792.66,114753.68
3/24/2018,5056.21,6647.3,7071.16,160580.62,134854.29,86878.81,146653.56,138863.18
8/31/2017,40429.83,793.3,2649.54,86230.66,121330.77,109992.87,173070.18,142622.15
10/15/2016,41158.3,11372.92,9633.6,166724.62,131958.57,180430.73,109463.98,169747.13
5/15/2017,1656.79,11541.32,2551.44,176559.06,198100.63,159199.7,93305.53,133903.41
5/27/2017,3882.46,8022.83,9421.55,92823.98,140065.32,116722.91,178089.56,140119.0
8/17/2016,6207.71,8960.2,9743.98,159033.45,193371.07,98707.46,157596.06,98386.45
2/5/2017,6408.61,5014.06,9346.37,171027.42,114479.34,,,132984.49
